,game_id,event,player_name
152,2f581786-655f-4d26-a349-b1e833eca925,FIDE WCh KO,"Sokolov,I"
153,2f8329a5-0959-4d73-a919-dec8e688a621,World Championship 10th,"Lasker, Emanuel"
154,30035081-2408-4b09-a18a-9c7b7b5012f4,FIDE WCh KO,"Grischuk,A"
155,300f4ebb-7341-402c-b1ea-ef706ea41b52,FIDE WCh KO,Peng Xiaomin
156,3012daa6-2f6b-4a0f-9a8b-f0cd32b83144,World Championship 29th,"Kortschnoj, Viktor"
157,3047891d-0a9c-4b7e-a5ea-cae7292b8959,World Championship 21th,"Botvinnik, Mikhail"
158,304f830c-0d1e-4a48-a60e-f7971487c2f5,FIDE WCh KO,"Serper,G"
159,30ab76b1-1b2f-45f1-90d8-2cd844753eaa,World Championship 16th,"Euwe, Max"
160,31323cc8-632e-4407-b571-6a4a5121feab,FIDE WCh KO,"Macieja,B"
161,32171e06-cf7b-48b2-b7a7-6008d0966104,World Championship 26th,"Spassky, Boris V"
162,322d2f5e-dd83-43b7-8d52-f791be55fc54,World Championship 23th,"Botvinnik, Mikhail"
163,3241b0a6-5dd4-4268-8e32-3fc70cc2a356,FIDE WCh KO,"Villamayor,B"
164,32aa7bad-ee76-4341-ae0a-f854d31181de,FIDE-Wch k.o.,"Fridman, Daniel"
165,334f7c80-3fc2-4b2d-bde7-2fb5688e6637,FIDE WCh KO,"Macieja,B"
166,33810a02-138c-427f-9074-56377f42853c,World Championship 19th,"Bronstein, David I"
167,33cbd70a-0c1d-4057-8985-cbe459bd1b4b,FIDE WCh KO,"Dreev,A"
168,33d9818e-36d0-46ef-96ca-4546dc25a366,FIDE-Wch k.o.,"Movsesian, Sergei"
169,33e1bab3-ff5a-496b-a11c-08a7958ca15b,FIDE-Wch,"Karpov, Anatoly"
170,34417a35-c210-4e3b-87fb-49db670d1361,FIDE WCh KO,"Radjabov,T"
171,34476eac-91aa-4975-a695-7889f3ae9cb6,World Championship 14th,"Alekhine, Alexander"
172,34936814-c235-47b2-b595-d8e37e03cdcf,FIDE WCh KO,"Delchev,A"
173,34c84da2-8360-4196-bed6-87f397683d3b,FIDE WCh KO,"Mamedyarov,S"
174,34cab19e-2c21-46d1-90fd-d68a27b3e7f0,FIDE-Wch k.o.,"Aronian, Levon"
175,34e3ac8b-3de3-45cf-b163-45b4c41a09e5,FIDE-Wch k.o.,"Garcia, Gildardo"
176,352a0d46-8727-4fcf-b759-25b2c23a81a4,FIDE WCh KO,"Vaganian,R"
177,3531a7e4-c0e1-4977-9023-70d50c18afc0,World Championship 20th,"Botvinnik, Mikhail"
178,3667e20a-7527-4052-8ddf-6c047ccf76ff,FIDE WCh KO,"Anand,V"
